"","word","score","sentiment0"
"2103","forget",-1,"negative"
"2104","love",3,"positive"
"2105","kill",-3,"negative"
"2106","agreed",1,"positive"
"2107","forget",-1,"negative"
"2108","loving",2,"positive"
"2109","forget",-1,"negative"
"2110","beautiful",3,"positive"
"2111","fresh",1,"positive"
"2112","falling",-1,"negative"
"2113","love",3,"positive"
"2114","death",-2,"negative"
"2115","missing",-2,"negative"
"2116","favorite",2,"positive"
"2117","beautiful",3,"positive"
"2118","lovely",3,"positive"
"2119","lol",3,"positive"
"2120","trust",1,"positive"
"2121","beautiful",3,"positive"
"2122","winner",4,"positive"
"2123","love",3,"positive"
"2124","love",3,"positive"
"2125","fantastic",4,"positive"
"2126","favorite",2,"positive"
"2127","love",3,"positive"
"2128","silly",-1,"negative"
"2129","awesome",4,"positive"
"2130","pretty",1,"positive"
"2131","love",3,"positive"
"2132","dream",1,"positive"
"2133","favorite",2,"positive"
"2134","awesome",4,"positive"
"2135","love",3,"positive"
"2136","happy",3,"positive"
"2137","grand",3,"positive"
"2138","lol",3,"positive"
"2139","charming",3,"positive"
"2140","beautiful",3,"positive"
"2141","fan",3,"positive"
"2142","favorite",2,"positive"
"2143","wonderful",4,"positive"
"2144","flagship",2,"positive"
"2145","crazy",-2,"negative"
"2146","wow",4,"positive"
"2147","fun",4,"positive"
"2148","favorite",2,"positive"
"2149","perfect",3,"positive"
"2150","miss",-2,"negative"
"2151","winner",4,"positive"
"2152","feeling",1,"positive"
"2153","yeah",1,"positive"
"2154","fun",4,"positive"
"2155","awesome",4,"positive"
"2156","winner",4,"positive"
"2157","pretty",1,"positive"
"2158","love",3,"positive"
"2159","love",3,"positive"
"2160","winner",4,"positive"
"2161","alas",-1,"negative"
"2162","love",3,"positive"
"2163","join",1,"positive"
"2164","favorite",2,"positive"
"2165","love",3,"positive"
"2166","inconvenient",-2,"negative"
"2167","winner",4,"positive"
"2168","falling",-1,"negative"
"2169","love",3,"positive"
"2170","fresh",1,"positive"
"2171","awesome",4,"positive"
"2172","awesome",4,"positive"
"2173","agreed",1,"positive"
"2174","favorite",2,"positive"
"2175","winner",4,"positive"
"2176","winner",4,"positive"
"2177","love",3,"positive"
"2178","super",3,"positive"
"2179","generous",2,"positive"
"2180","chance",2,"positive"
"2181","agreed",1,"positive"
"2182","winner",4,"positive"
"2183","love",3,"positive"
"2184","safety",1,"positive"
"2185","scare",-2,"negative"
"2186","dream",1,"positive"
"2187","join",1,"positive"
"2188","favorite",2,"positive"
"2189","love",3,"positive"
"2190","fresh",1,"positive"
"2191","join",1,"positive"
"2192","sweet",2,"positive"
"2193","yeah",1,"positive"
"2194","scare",-2,"negative"
"2195","favorite",2,"positive"
"2196","guilty",-3,"negative"
"2197","leave",-1,"negative"
"2198","woo",3,"positive"
"2199","favorite",2,"positive"
"2200","join",1,"positive"
"2201","join",1,"positive"
"2202","woo",3,"positive"
"2203","join",1,"positive"
"2204","join",1,"positive"
"2205","happy",3,"positive"
"2206","poor",-2,"negative"
"2207","poor",-2,"negative"
"2208","inconvenience",-2,"negative"
"2209","inconvenience",-2,"negative"
"2210","avoid",-1,"negative"
"2211","super",3,"positive"
"2212","excited",3,"positive"
"2213","regret",-2,"negative"
"2214","encourage",2,"positive"
